2688493056 = missile01_mark01_rtc, 101 - Установка "Копье"
2783997389 = ku_large_station_turret01_mark03, 515 - Тяжелая турель станции Кусари
2883245448 = rh_small_station_turret01_mark01, 516 - Легкая турель станции Рейнландии
2351127106 = rh_large_station_turret01_mark01, 517 - Тяжелая турель станции Рейнландии
2346363272 = rh_small_station_turret01_mark02, 518 - Легкая турель станции Рейнландии
2887984706 = rh_large_station_turret01_mark02, 519 - Тяжелая турель станции Рейнландии
2883239304 = rh_small_station_turret01_mark03, 520 - Легкая турель станции Рейнландии
2351116866 = rh_large_station_turret01_mark03, 521 - Тяжелая турель станции Рейнландии
3175864713 = co_small_station_turret01_mark01, 522 - Легкая турель свободной станции
2595378755 = co_large_station_turret01_mark01, 523 - Тяжелая турель свободной станции
2638980489 = co_small_station_turret01_mark02, 524 - Легкая турель свободной станции
3132238403 = co_large_station_turret01_mark02, 525 - Тяжелая турель свободной станции
3175854473 = co_small_station_turret01_mark03, 526 - Легкая турель свободной станции
2595372611 = co_large_station_turret01_mark03, 527 - Тяжелая турель свободной станции
2783730625 = pi_small_station_turret01_mark01, 528 -  Легкая турель станции
2182468619 = pi_large_station_turret01_mark01, 529 - Тяжелая турель станции
2246846401 = pi_small_station_turret01_mark02, 530 - Легкая турель станции
2719328267 = pi_large_station_turret01_mark02, 531 - Тяжелая турель станции
2783720385 = pi_small_station_turret01_mark03, 532 - Легкая турель станции
2182462475 = pi_large_station_turret01_mark03, 533 - Тяжелая турель станции
3162106181 = li_wp_turret01, 534 - Лазерная турель платформы Свободы
2625213765 = li_wp_turret02, 535 - Ракетная турель платформы Свободы
2454398080 = li_wp_turret01_mark01, 536 - Лазерная турель платформы Свободы
2991282304 = li_wp_turret01_mark02, 537 - Лазерная турель платформы Свободы
2454408320 = li_wp_turret01_mark03, 538 - Лазерная турель платформы Свободы
2991300736 = li_wp_turret01_mark04, 539 - Лазерная турель платформы Свободы
2991286403 = li_wp_turret02_mark01, 540 - Ракетная турель платформы Свободы
2454393987 = li_wp_turret02_mark02, 541 - Ракетная турель платформы Свободы
2991259779 = li_wp_turret02_mark03, 542 - Ракетная турель платформы Свободы
2454449283 = li_wp_turret02_mark04, 543 - Ракетная турель платформы Свободы
2668549063 = br_wp_turret01_mark01, 544 - Лазерная турель платформы Бретони
3205410759 = br_wp_turret01_mark02, 545 - Лазерная турель платформы Бретони
2668542919 = br_wp_turret01_mark03, 546 - Лазерная турель платформы Бретони
3205406660 = br_wp_turret02_mark01, 547 - Ракетная турель платформы Бретони
2668553156 = br_wp_turret02_mark02, 548 - Ракетная турель платформы Бретони
3205429188 = br_wp_turret02_mark03, 549 - Ракетная турель платформы Бретони
2490112330 = ku_wp_turret01_mark01, 550 - Лазерная турель платформы Кусари
3027002698 = ku_wp_turret01_mark02, 551 - Лазерная турель платформы Кусари
2490134858 = ku_wp_turret01_mark03, 552 - Лазерная турель платформы Кусари
3026998601 = ku_wp_turret02_mark01, 553 - Ракетная турель платформы Кусари
2490116425 = ku_wp_turret02_mark02, 554 - Ракетная турель платформы Кусари
3026992457 = ku_wp_turret02_mark03, 555 - Ракетная турель платформы Кусари
2347914178 = rh_wp_turret01_mark01, 556 - Лазерная турель платформы Рейнландии
2884775874 = rh_wp_turret01_mark02, 557 - Лазерная турель платформы Рейнландии
2347908034 = rh_wp_turret01_mark03, 558 - Лазерная турель платформы Рейнландии
2884771777 = rh_wp_turret02_mark01, 559 - Ракетная турель платформы Рейнландии
2347918273 = rh_wp_turret02_mark02, 560 - Ракетная турель платформы Рейнландии
2884794305 = rh_wp_turret02_mark03, 561 - Ракетная турель платформы Рейнландии
2662376719 = co_wp_turret01_mark01, 562 - Лазерная турель гражданской платформы
3199260943 = co_wp_turret01_mark02, 563 - Лазерная турель гражданской платформы
2662386959 = co_wp_turret01_mark03, 564 - Лазерная турель гражданской платформы
3199265036 = co_wp_turret02_mark01, 565 - Ракетная турель гражданской платформы
2662372620 = co_wp_turret02_mark02, 566 - Ракетная турель гражданской платформы
3199238412 = co_wp_turret02_mark03, 567 - Ракетная турель гражданской платформы
2306544320 = pi_wp_turret01_mark01, 568 - Лазерная турель платформы
2843438784 = pi_wp_turret01_mark02, 569 - Лазерная турель платформы
2306570944 = pi_wp_turret01_mark03, 570 - Лазерная турель платформы
2843434691 = pi_wp_turret02_mark01, 571 - Ракетная турель платформы
2306548419 = pi_wp_turret02_mark02, 572 - Ракетная турель платформы
2843424451 = pi_wp_turret02_mark03, 573 - Ракетная турель платформы
2945433985 = ge_wps_gun_01, 574 - Легкое орудие платформы
2406882184 = ge_wps_mlauncher_01, 575 - Легкая установка платформы
2795765250 = li_wps_gun01_mark01, 576 - Легкое орудие платформы Свободы
2258862594 = li_wps_gun01_mark02, 577 - Легкое орудие платформы Свободы
2795738626 = li_wps_gun01_mark03, 578 - Легкое орудие платформы Свободы
2177244160 = li_wps_mlauncher01_mark01, 579 - Легкая пусковая установка Свободы
2714132480 = li_wps_mlauncher01_mark02, 580 - Легкая пусковая установка Свободы
2177266688 = li_wps_mlauncher01_mark03, 581 - Легкая пусковая установка Свободы
2547674063 = br_wps_gun01_mark01, 582 - Легкое орудие платформы Бретони
3084523471 = br_wps_gun01_mark02, 583 - Легкое орудие платформы Бретони
2547647439 = br_wps_gun01_mark03, 584 - Легкое орудие платформы Бретони
2797177167 = br_wps_mlauncher01_mark01, 585 - Легкая пусковая установка Бретони
2260333903 = br_wps_mlauncher01_mark02, 586 - Легкая пусковая установка Бретони
2797199695 = br_wps_mlauncher01_mark03, 587 - Легкая пусковая установка Бретони
3045224837 = ku_wps_gun01_mark01, 588 - Легкое орудие платформы Кусари
2508328325 = ku_wps_gun01_mark02, 589 - Легкое орудие платформы Кусари
3045202309 = ku_wps_gun01_mark03, 590 - Легкое орудие платформы Кусари
2405268551 = ku_wps_mlauncher01_mark01, 591 - Легкая пусковая установка Кусари
2942107719 = ku_wps_mlauncher01_mark02, 592 - Легкая пусковая установка Кусари
2405241927 = ku_wps_mlauncher01_mark03, 593 - Легкая пусковая установка Кусари
2185958851 = rh_wps_gun01_mark01, 594 - Легкое орудие платформы Рейнландии
2722851267 = rh_wps_gun01_mark02, 595 - Легкое орудие платформы Рейнландии
2185985475 = rh_wps_gun01_mark03, 596 - Легкое орудие платформы Рейнландии
2411789131 = rh_wps_mlauncher01_mark01, 597 - Легкая пусковая установка Рейнландии
2948630347 = rh_wps_mlauncher01_mark02, 598 - Легкая пусковая установка Рейнландии
2411762507 = rh_wps_mlauncher01_mark03, 599 - Легкая пусковая установка Рейнландии
2717118789 = co_wps_gun01_mark01, 600 - Легкое орудие гражданской платформы
2180222277 = co_wps_gun01_mark02, 601 - Легкое орудие гражданской платформы
2717096261 = co_wps_gun01_mark03, 602 - Легкое орудие гражданской платформы
3116499334 = co_wps_mlauncher01_mark01, 603 - Легкая пусковая установка
2579660166 = co_wps_mlauncher01_mark02, 604 - Легкая пусковая установка
3116525958 = co_wps_mlauncher01_mark03, 605 - Легкая пусковая установка
2267223498 = pi_wps_gun01_mark01, 606 - Легкое орудие оружейной платформы
2804115914 = pi_wps_gun01_mark02, 607 - Легкое орудие оружейной платформы
2267250122 = pi_wps_gun01_mark03, 608 - Легкое орудие оружейной платформы
2604732738 = pi_wps_mlauncher01_mark01, 609 - Пусковая установка оружейной платформы
3141627202 = pi_wps_mlauncher01_mark02, 610 - Пусковая установка оружейной платформы
2604759362 = pi_wps_mlauncher01_mark03, 611 - Пусковая установка оружейной платформы
2724645632 = lair_turret01, 612 - Турель Странников
2187769600 = lair_turret02, 613 - Турель Странников
2747723522 = SWP_turret01, 614 - Усилитель Щита
2812936516 = SWP_missile, 615 - Усилитель Щита
2968416014 = IM_station_turret, 616 - Усилитель Щита
3074961605 = im_fc_j_gun01_mark01, 617 - Усилитель Щита
2613665991 = im_fc_x_gun01_mark01, 618 - Усилитель Щита
3047799044 = im_li_gun01_mark02, 619 - Усилитель Щита
2416507076 = im_fc_g_gun01_mark01, 620 - Усилитель Щита
2577450823 = im_gd_z_gun01_mark01, 621 - Усилитель Щита
2945820803 = im_br_gun02_mark01, 622 - Усилитель Щита
3021227334 = im_fc_lh_gun01_mark01, 623 - Усилитель Щита
2631192391 = im_fc_ou_turret01_mark01, 624 - Усилитель Щита
2593460549 = im_fc_lr_gun01_mark04, 625 - Усилитель Щита
2323223180 = im_br_turret02_mark02, 626 - Усилитель Щита
2510902532 = im_li_gun01_mark05, 627 - Усилитель Щита
2494100687 = im_gd_gm_turret01_mark01, 628 - Усилитель Щита
3150570695 = im_fc_x_gun01_mark04, 629 - Усилитель Щита
2153143810 = im_rh_gun01_mark03, 630 - Усилитель Щита
2540909833 = im_fc_ou_gun01_mark04, 631 - Усилитель Щита
2540924170 = im_fc_ou_gun02_mark05, 632 - Усилитель Щита
2494078159 = im_gd_gm_turret01_mark03, 633 - Усилитель Щита
3091269832 = im_gd_gm_gun01_mark04, 634 - Усилитель Щита
2690036226 = im_rh_gun01_mark04, 635 - Усилитель Щита
2164787396 = im_fc_c_gun01_mark05, 636 - Усилитель Щита
2914776463 = im_special_nomad_gun01, 637 - Усилитель Щита
2377877903 = im_special_nomad_gun02, 638 - Усилитель Щита
2856801357 = im_special_gun01, 639 - Усилитель Щита
2319919181 = im_special_gun02, 640 - Усилитель Щита
2856795213 = im_special_gun03, 641 - Усилитель Щита
2319962189 = im_special_gun04, 642 - Усилитель Щита
2856830029 = im_special_gun05, 643 - Усилитель Щита
2319956045 = im_special_gun06, 644 - Усилитель Щита
2856823885 = im_special_gun07, 645 - Усилитель Щита
2319867981 = im_special_gun08, 646 - Усилитель Щита
2856744013 = im_special_gun09, 647 - Усилитель Щита
2319663175 = im_special_gun10, 648 - Усилитель Щита
2856539207 = im_special_gun11, 649 - Усилитель Щита
2319657031 = im_special_gun12, 650 - Усилитель Щита
2856533063 = im_special_gun13, 651 - Усилитель Щита
2319700039 = im_special_gun14, 652 - Усилитель Щита
2856567879 = im_special_gun15, 653 - Усилитель Щита
2874667080 = im_im_torpedo01_mark01, 654 - Усилитель Щита
2337770568 = im_im_torpedo01_mark02, 655 - Усилитель Щита
2976061190 = im_im_cruise_disruptor01_mark01, 656 - Усилитель Щита
2416563332 = snac_torpedo01_rtc, 657 - Главный Калибр Линкора
